system,algorithm,seed,generation,best_fitness,median_fitness,diversity,elapsed_s
plugin_platform_24,DTMC-GA,8,1,6.354930221600641,5.756691093714056,0.6470959595959597,0.02437067900063994
plugin_platform_24,DTMC-GA,8,2,6.354930221600641,5.994849022017983,0.4917929292929292,0.036091850999582675
plugin_platform_24,DTMC-GA,8,3,6.354930221600641,6.26417947797897,0.366161616161616,0.047883048000585404
plugin_platform_24,DTMC-GA,8,4,6.354930221600641,6.354930221600641,0.34280303030303017,0.059822719000294455
plugin_platform_24,DTMC-GA,8,5,6.480010311606409,6.354930221600641,0.013888888888888883,0.07215576999988116
plugin_platform_24,DTMC-GA,8,6,6.548536441875871,6.354930221600641,0.057449494949494924,0.0840017299997271
plugin_platform_24,DTMC-GA,8,7,6.548536441875871,6.480010311606409,0.09090909090909091,0.09605986799942912
plugin_platform_24,DTMC-GA,9,0,6.059665196706015,5.755000191679717,0.8030303030303031,0.012958851999428589
plugin_platform_24,DTMC-GA,9,1,6.176314430157158,5.975187291193825,0.6704545454545453,0.025349098999868147
plugin_platform_24,DTMC-GA,9,2,6.176314430157158,6.019002078062125,0.5498737373737373,0.03736954099986178
plugin_platform_24,DTMC-GA,9,3,6.176314430157158,5.947702623284698,0.48989898989898983,0.04893998700026714
plugin_platform_24,DTMC-GA,9,4,6.215894848912851,6.176314430157158,0.11679292929292936,0.06065645200033032
plugin_platform_24,DTMC-GA,9,5,6.624191256409087,6.176314430157158,0.15656565656565663,0.07259802500084334
plugin_platform_24,DTMC-GA,9,6,6.624191256409087,6.473711779736717,0.14204545454545453,0.08439763500064146
plugin_platform_24,DTMC-GA,9,7,6.624191256409087,6.624191256409087,0.03977272727272727,0.09621936800067488
plugin_platform_24,DTMC-GA,10,0,6.224072408742772,5.725853423357256,0.7998737373737373,0.04516402300032496
plugin_platform_24,DTMC-GA,10,1,6.317400271868818,5.981701017206751,0.5978535353535352,0.057250613999713096
plugin_platform_24,DTMC-GA,10,2,6.353960466158927,6.224072408742772,0.4097222222222222,0.06950427599986142
plugin_platform_24,DTMC-GA,10,3,6.380229271957949,6.317358724134119,0.24747474747474746,0.08185211999989406
plugin_platform_24,DTMC-GA,10,4,6.629276757288932,6.370430833634291,0.1622474747474748,0.09396646300046996
plugin_platform_24,DTMC-GA,10,5,6.629276757288932,6.383550420205909,0.13825757575757572,0.10579344399957336
plugin_platform_24,DTMC-GA,10,6,6.70143372939537,6.629276757288932,0.1268939393939394,0.11764792599933571
plugin_platform_24,DTMC-GA,10,7,6.779521406399376,6.691763701623765,0.06565656565656568,0.12957737099895894
plugin_platform_24,DTMC-GA,11,0,6.329889908694495,5.617707300920416,0.8030303030303029,0.012931010000102106
plugin_platform_24,DTMC-GA,11,1,6.581740280298442,5.992789795262895,0.6357323232323232,0.02459938300125941
plugin_platform_24,DTMC-GA,11,2,6.61956761858654,6.329889908694495,0.14709595959595956,0.036337510000521434
plugin_platform_24,DTMC-GA,11,3,6.704337014048823,6.61956761858654,0.09785353535353539,0.048828900000444264
plugin_platform_24,DTMC-GA,11,4,6.704337014048823,6.61956761858654,0.09343434343434345,0.06115912700079207
plugin_platform_24,DTMC-GA,11,5,6.704337014048823,6.630339533801943,0.09469696969696967,0.07309741500102973
plugin_platform_24,DTMC-GA,11,6,6.704337014048823,6.704337014048823,0.04797979797979798,0.08551894000083848
plugin_platform_24,DTMC-GA,11,7,6.760293177108007,6.704337014048823,0.03472222222222224,0.09779816000082064
plugin_platform_24,DTMC-GA,12,0,6.410143330972043,5.826306841883174,0.8099747474747477,0.013431381999907899
plugin_platform_24,DTMC-GA,12,1,6.410143330972043,5.994983831071963,0.63510101010101,0.025712265000038315
plugin_platform_24,DTMC-GA,12,2,6.410143330972043,6.130625953435771,0.5587121212121211,0.03785102400070173
plugin_platform_24,DTMC-GA,12,3,6.410143330972043,6.288220445906114,0.3623737373737374,0.0500591580002947
plugin_platform_24,DTMC-GA,12,4,6.410143330972043,6.410143330972043,0.020833333333333325,0.06235285000002477
plugin_platform_24,DTMC-GA,12,5,6.411551498095414,6.410143330972043,0.02714646464646465,0.07388360600089072
plugin_platform_24,DTMC-GA,12,6,6.411551498095414,6.410143330972043,0.030934343434343446,0.08600015299998631
plugin_platform_24,DTMC-GA,12,7,6.469392989046212,6.411551498095414,0.04166666666666665,0.09807320300024003
plugin_platform_24,DTMC-GA,13,0,5.964516588190548,5.549857429553276,0.8042929292929294,0.012990619001357118
plugin_platform_24,DTMC-GA,13,1,6.101542033865115,5.964516588190548,0.5006313131313131,0.024870189001376275
plugin_platform_24,DTMC-GA,13,2,6.101542033865115,5.96135597760578,0.3200757575757575,0.03655743100171094
plugin_platform_24,DTMC-GA,13,3,6.190029617101095,6.101542033865115,0.2506313131313129,0.04826785700061009
plugin_platform_24,DTMC-GA,13,4,6.190029617101095,5.932746015538643,0.2796717171717171,0.06064958100068907
plugin_platform_24,DTMC-GA,13,5,6.36494577405341,6.190029617101095,0.19760101010101006,0.07300772000053257
plugin_platform_24,DTMC-GA,13,6,6.36494577405341,6.177229326079851,0.09217171717171717,0.0852933310015942
plugin_platform_24,DTMC-GA,13,7,6.36494577405341,6.36494577405341,0.09722222222222221,0.09763154000029317
plugin_platform_24,DTMC-GA,14,0,6.399318802033448,5.593865730280674,0.8011363636363633,0.013563129999965895
plugin_platform_24,DTMC-GA,14,1,6.399318802033448,5.919725280931672,0.5997474747474747,0.026161118999880273
plugin_platform_24,DTMC-GA,14,2,6.52971048988294,6.308133251155084,0.33017676767676757,0.03839255800085084
plugin_platform_24,DTMC-GA,14,3,6.52971048988294,6.399318802033448,0.2051767676767677,0.05055865900067147
plugin_platform_24,DTMC-GA,14,4,6.52971048988294,6.402724163528937,0.25757575757575757,0.06253186899994034
plugin_platform_24,DTMC-GA,14,5,6.52971048988294,6.399318802033448,0.21780303030303028,0.07412428799943882
plugin_platform_24,DTMC-GA,14,6,6.600537302481368,6.52971048988294,0.08522727272727273,0.086102536000908
plugin_platform_24,DTMC-GA,14,7,6.678280734414757,6.52971048988294,0.05492424242424243,0.0977708390000771
plugin_platform_24,DTMC-GA,15,0,6.1480932545833165,5.508058812485581,0.7910353535353536,0.013325763000466395
plugin_platform_24,DTMC-GA,15,1,6.24822429748992,5.772440827104175,0.5618686868686869,0.025473146000877023
plugin_platform_24,DTMC-GA,15,2,6.24822429748992,5.744387692747354,0.5340909090909092,0.037698756001191214
