system,algorithm,metric,count,mean,median,sd,ci95,min,max
event_pipeline_16,Bunch,load_balance,30,0.5005566375644755,0.5112903811698866,0.2108631610545068,0.07873759835396442,0.0,0.905488006552354
event_pipeline_16,Bunch,mq,30,6.916184666666666,6.499780000000001,2.2192979975794667,0.8286994915911355,2.8389999999999995,12.65572
event_pipeline_16,Bunch,algorithm_runtime_s,30,0.09162141789984159,0.09112557599928545,0.005718116909677184,0.002135179944773722,0.0873533339999994,0.1201391189988498
event_pipeline_16,DTMC-GA,speedup,30,2.653418674410282,2.650156465641116,0.11007190614120316,0.04110152523778684,2.4104196350014653,2.831182965607513
event_pipeline_16,DTMC-GA,communication_overhead,30,0.2050201125248942,0.2056952007269804,0.017405464158568855,0.006499307129932768,0.1657296557195123,0.2318092579048495
event_pipeline_16,DTMC-GA,load_balance,30,0.8842937664376442,0.9019195089874995,0.06257241119602763,0.023364922332347958,0.7255227326329017,0.9659659469360072
event_pipeline_16,DTMC-GA,mq,30,14.100312666666664,14.314509999999999,0.6948237561000055,0.2594514544930553,12.183319999999997,14.944399999999998
event_pipeline_16,DTMC-GA,algorithm_runtime_s,30,0.09096577876668256,0.09021304149973725,0.005044342657298375,0.0018835885041458742,0.0875630219998129,0.1155228049992729
event_pipeline_16,FCA,speedup,30,2.1895537689899394,2.18955376898994,4.516810283266961e-16,1.686604678343975e-16,2.18955376898994,2.18955376898994
event_pipeline_16,FCA,communication_overhead,30,0.2052858419579359,0.2052858419579358,8.469019281125553e-17,3.162383771894953e-17,0.2052858419579358,0.2052858419579358
event_pipeline_16,FCA,load_balance,30,0.6670236546564579,0.6670236546564581,2.2584051416334807e-16,8.433023391719875e-17,0.6670236546564581,0.6670236546564581
event_pipeline_16,FCA,mq,30,13.424579999999999,13.42458,1.8067241133067846e-15,6.7464187133759e-16,13.42458,13.42458
event_pipeline_16,FCA,algorithm_runtime_s,30,0.0013692543668487598,0.0013382205006564,9.74445289912468e-05,3.6386385118834135e-05,0.0012750660007441,0.0017738650003593
event_pipeline_16,RandomValidPartition,speedup,30,2.1444542799637465,2.2169085032612603,0.29437022929835605,0.10991965009889516,1.5623700131299822,2.9119927617196204
event_pipeline_16,RandomValidPartition,communication_overhead,30,0.20340299377280902,0.2085622282538819,0.02870692036207621,0.010719340230625313,0.1266222479834488,0.2413943176748501
event_pipeline_16,RandomValidPartition,load_balance,30,0.563497630761775,0.5839974473547929,0.2039250713694246,0.07614687308817664,0.0825837490360614,0.9076600725113124
event_pipeline_16,RandomValidPartition,mq,30,12.707154,13.50629,2.138840966647832,0.7986563424959269,7.5483,15.08088
event_pipeline_16,RandomValidPartition,algorithm_runtime_s,30,0.0010775827666293068,0.001053717999639,7.80215484536326e-05,2.9133724991955854e-05,0.0010050900000351,0.0013399129984463
event_pipeline_16,TraditionalMQ,speedup,30,2.1636981067295715,2.163698106729572,4.516810283266961e-16,1.686604678343975e-16,2.163698106729572,2.163698106729572
event_pipeline_16,TraditionalMQ,communication_overhead,30,0.18776831893000376,0.1877683189300038,5.646012854083702e-17,2.1082558479299687e-17,0.1877683189300038,0.1877683189300038
event_pipeline_16,TraditionalMQ,load_balance,30,0.5824490916123113,0.5824490916123114,1.1292025708167404e-16,4.2165116958599375e-17,0.5824490916123114,0.5824490916123114
event_pipeline_16,TraditionalMQ,mq,30,10.84062,10.84062,0.0,0.0,10.84062,10.84062
event_pipeline_16,TraditionalMQ,algorithm_runtime_s,30,0.001503274066574957,0.0014858975000606,7.676165159648031e-05,2.8663271773812944e-05,0.0014156870001897,0.0017149560007965
layered_services_12,Bunch,speedup,30,1.8646846167511,2.0275505277105577,0.47361190228451183,0.17684959075471426,1.245511940981992,2.533582391451211
layered_services_12,Bunch,communication_overhead,30,0.05949120424634398,0.0708850037232424,0.02840713611920896,0.0106073989546353,0.0,0.100242123275014
layered_services_12,Bunch,load_balance,30,0.5409718182685849,0.5735711210955181,0.30923822555352304,0.11547145114187098,0.0,1.0
layered_services_12,Bunch,mq,30,4.475742,3.6401399999999997,2.7109487243645525,1.0122848901142667,0.0,10.208940000000002
layered_services_12,Bunch,algorithm_runtime_s,30,0.08916875986657637,0.0865851714997916,0.008278404182451429,0.003091206924291284,0.0839366419986618,0.118889842999124
layered_services_12,DTMC-GA,speedup,30,2.1944668457799237,2.1953503636133753,0.14328793985703167,0.05350459606604117,1.903525878287727,2.528516119465204
layered_services_12,DTMC-GA,communication_overhead,30,0.12216670917306213,0.12543093411122946,0.016461778199589872,0.006146929001677564,0.0736232277996848,0.1496885270429059
layered_services_12,DTMC-GA,load_balance,30,0.6834948677786638,0.6827948491961867,0.05731023852251644,0.0213999947633781,0.5494312435575884,0.7842332264211059
layered_services_12,DTMC-GA,mq,30,13.086724,13.341339999999999,0.8746355863093047,0.32659429535491313,9.99832,14.46176
layered_services_12,DTMC-GA,algorithm_runtime_s,30,0.08868625189970768,0.08628322299955465,0.006023475228849017,0.0022492026150626233,0.0844664900014322,0.1162296029997378
layered_services_12,FCA,speedup,30,1.5711860159007154,1.5711860159007156,2.2584051416334807e-16,8.433023391719875e-17,1.5711860159007156,1.5711860159007156
layered_services_12,FCA,communication_overhead,30,0.15518714705066064,0.1551871470506607,5.646012854083702e-17,2.1082558479299687e-17,0.1551871470506607,0.1551871470506607
layered_services_12,FCA,load_balance,30,0.3886848489863824,0.3886848489863823,1.1292025708167404e-16,4.2165116958599375e-17,0.3886848489863823,0.3886848489863823
layered_services_12,FCA,mq,30,7.779519999999999,7.77952,9.033620566533923e-16,3.37320935668795e-16,7.77952,7.77952
layered_services_12,FCA,algorithm_runtime_s,30,0.00122405530012954,0.0011912945001313,0.00010092631927891563,3.768650697915443e-05,0.0011623760001384,0.001634775999264
layered_services_12,RandomValidPartition,speedup,30,1.6367618361725047,1.6483799929477507,0.16354820795023428,0.061069904504407344,1.340263308310278,1.9386220914872727
layered_services_12,RandomValidPartition,communication_overhead,30,0.13863955269936631,0.1441978255547475,0.02218795642085464,0.008285119089668409,0.0835182098873726,0.1760286906284411
layered_services_12,RandomValidPartition,load_balance,30,0.37139479335255926,0.3892486930521839,0.18229360247748388,0.06806954985683404,0.0186038199588393,0.7714163072437961
layered_services_12,RandomValidPartition,mq,30,10.381438000000001,10.58819,2.587573358146386,0.9662157712436251,4.373620000000001,14.33866
layered_services_12,RandomValidPartition,algorithm_runtime_s,30,0.00096710726678182,0.0009390004997839999,7.491636652031331e-05,2.7974231002304047e-05,0.0009174480001092,0.0012044289996993
layered_services_12,TraditionalMQ,speedup,30,1.7385467258445066,1.7385467258445062,4.516810283266961e-16,1.686604678343975e-16,1.7385467258445062,1.7385467258445062
layered_services_12,TraditionalMQ,communication_overhead,30,0.12128321354662407,0.1212832135466241,2.823006427041851e-17,1.0541279239649844e-17,0.1212832135466241,0.1212832135466241
layered_services_12,TraditionalMQ,load_balance,30,0.4264094384276228,0.4264094384276228,0.0,0.0,0.4264094384276228,0.4264094384276228
layered_services_12,TraditionalMQ,mq,30,11.477599999999999,11.4776,1.8067241133067846e-15,6.7464187133759e-16,11.4776,11.4776
layered_services_12,TraditionalMQ,algorithm_runtime_s,30,0.0014409965665738932,0.0013808945004711,0.00016092381301120926,6.0089939328898505e-05,0.0013370389988267,0.0019641609997052
plugin_platform_24,Bunch,speedup,30,2.4647274993677115,2.4158501242196992,0.3345976423365021,0.1249408129932417,1.5802729281819965,3.131028810805641
plugin_platform_24,Bunch,communication_overhead,30,0.14158941240881484,0.14241562863030605,0.019061476559845372,0.007117672323116937,0.0955857271216785,0.1711214882619398
plugin_platform_24,Bunch,load_balance,30,0.45090034582144617,0.48301394612358506,0.2002324521712035,0.07476802641885011,0.0,0.8011464024518741
plugin_platform_24,Bunch,mq,30,17.643983333333335,17.70559,3.2288958617356083,1.2056895297249093,11.14482,24.05776
